keyword,suggestions,semantic_match,related
activity,"['exercise', 'mobility', 'living', 'aerobics', 'sport', 'sexual', 'vitality', 'enzyme', 'treatment', 'sector', 'walking', 'youth', 'cyclist', 'caffeine', 'jogging', 'fitness', 'creativity']","['sport', 'walking', 'cyclist', 'caffeine', 'fitness']","['exercise', 'mobility', 'living', 'aerobics', 'sport', 'sexual', 'vitality', 'enzyme', 'treatment', 'sector', 'walking', 'youth', 'cyclist', 'caffeine', 'jogging', 'fitness', 'creativity']"
remedy,"['herbal', 'antidote', 'tonic', 'medication', 'potion', 'cortisone', 'treatment', 'drugstore', 'disease', 'sickness', 'drug', 'pill', 'lotion']","['herbal', 'antidote', 'medication', 'potion', 'drugstore', 'drug', 'pill']","['herbal', 'antidote', 'tonic', 'medication', 'potion', 'cortisone', 'treatment', 'drugstore', 'disease', 'sickness', 'drug', 'pill', 'lotion']"
lung,"['smoker', 'transplant', 'asthma', 'cancer', 'heart', 'cigarette', 'artery', 'ulcer', 'illness', 'liver', 'kidney']","['smoker', 'asthma', 'cancer', 'heart', 'cigarette', 'artery', 'ulcer', 'liver', 'kidney']","['smoker', 'transplant', 'asthma', 'cancer', 'heart', 'cigarette', 'artery', 'ulcer', 'illness', 'liver', 'kidney']"
well-being,"['heath', 'goodness', 'safety', 'mental health', 'wellness', 'living', 'happiness', 'athlete', 'alright', 'contentment', 'fitness', 'medication']","['athlete', 'fitness', 'medication']","['heath', 'goodness', 'safety', 'mental health', 'wellness', 'living', 'happiness', 'athlete', 'alright', 'contentment', 'fitness', 'medication']"
soy,"['tofu', 'vegan', 'protein', 'sushi', 'calcium', 'yogurt']","['tofu', 'vegan', 'protein', 'sushi', 'calcium', 'yogurt']","['tofu', 'vegan', 'protein', 'sushi', 'calcium', 'yogurt']"
stroke,"['heart attack', 'swim', 'blood pressure', 'stoke', 'massage', 'cholesterol', 'physiology', 'heartbeat', 'veterinarian', 'old age']","['swim', 'massage', 'cholesterol']","['heart attack', 'swim', 'blood pressure', 'stoke', 'massage', 'cholesterol', 'physiology', 'heartbeat', 'veterinarian', 'old age']"
pizza,"['artichoke', 'garlic', 'junk food', 'eating', 'sector', 'diet', 'gluten', 'parsley', 'vegetarian', 'blood pressure', 'herb', 'fatty']","['artichoke', 'garlic', 'junk food', 'gluten', 'parsley', 'vegetarian', 'herb', 'fatty']","['artichoke', 'garlic', 'junk food', 'eating', 'sector', 'diet', 'gluten', 'parsley', 'vegetarian', 'blood pressure', 'herb', 'fatty']"
hygiene,"['dental', 'oral', 'sanitation', 'cleanliness', 'floss', 'toothbrush', 'toothpick', 'tampon', 'scrubs', 'cleanse', 'dentist', 'clinic', 'corporal', 'epidemic', 'cleansing', 'microbe', 'antiseptic', 'moisture', 'filth', 'lotion']","['dental', 'floss', 'toothpick', 'tampon', 'scrubs', 'dentist', 'clinic', 'corporal', 'antiseptic', 'moisture']","['dental', 'oral', 'sanitation', 'cleanliness', 'floss', 'toothbrush', 'toothpick', 'tampon', 'scrubs', 'cleanse', 'dentist', 'clinic', 'corporal', 'epidemic', 'cleansing', 'microbe', 'antiseptic', 'moisture', 'filth', 'lotion']"
vegan,"['vegetarian', 'tofu', 'herbivore', 'soy', 'veterinarian', 'hemp', 'amino acid', 'lifestyle', 'diet', 'gluten', 'protein', 'vitamin', 'organic', 'blender', 'grapefruit']","['vegetarian', 'tofu', 'herbivore', 'hemp', 'gluten', 'protein', 'blender', 'grapefruit']","['vegetarian', 'tofu', 'herbivore', 'soy', 'veterinarian', 'hemp', 'amino acid', 'lifestyle', 'diet', 'gluten', 'protein', 'vitamin', 'organic', 'blender', 'grapefruit']"
supplement,"['vitamin', 'herbal', 'amino acid', 'hormone', 'nourishment', 'nourish', 'liver', 'calcium']","['herbal', 'liver', 'calcium']","['vitamin', 'herbal', 'amino acid', 'hormone', 'nourishment', 'nourish', 'liver', 'calcium']"
arsenic,[],[],[]
nudity,"['sauna', 'nature']",['sauna'],"['sauna', 'nature']"
echidna,[],[],[]
soup,"['leek', 'turnip', 'celery', 'blender', 'vegetable', 'broccoli', 'parsley', 'carrot', 'tofu', 'warmth', 'nutritious', 'kelp', 'artichoke', 'juicer', 'robust', 'youth', 'nourishment', 'charity', 'vegetarian', 'asparagus']","['leek', 'turnip', 'celery', 'blender', 'vegetable', 'broccoli', 'parsley', 'carrot', 'tofu', 'artichoke']","['leek', 'turnip', 'celery', 'blender', 'vegetable', 'broccoli', 'parsley', 'carrot', 'tofu', 'warmth', 'nutritious', 'kelp', 'artichoke', 'juicer', 'robust', 'youth', 'nourishment', 'charity', 'vegetarian', 'asparagus', 'tonic', 'herb', 'kidney', 'organic', 'salad', 'hair']"
transplant,"['kidney', 'organs', 'lung', 'liver', 'leukemia']","['kidney', 'organs', 'lung', 'liver', 'leukemia']","['kidney', 'organs', 'lung', 'liver', 'leukemia']"
juicer,"['orange juice', 'blender']","['orange juice', 'blender']","['orange juice', 'blender']"
blueberry,"['yogurt', 'smoothie']",['yogurt'],"['yogurt', 'smoothie']"
sexual,"['libido', 'services', 'organs', 'rude', 'feeling', 'heal', 'glowing', 'therapist', 'oral', 'bondage']","['organs', 'glowing']","['libido', 'services', 'organs', 'rude', 'feeling', 'heal', 'glowing', 'therapist', 'oral', 'bondage']"
antibiotic,"['infection', 'immunity', 'disinfectant', 'microbe', 'illness', 'vital', 'antiseptic', 'cure', 'antidote']","['disinfectant', 'antiseptic', 'antidote']","['infection', 'immunity', 'disinfectant', 'microbe', 'illness', 'vital', 'antiseptic', 'cure', 'antidote']"
persist,"['maintain', 'overcome', 'endurance']",[],"['maintain', 'overcome', 'endurance']"
prime,"['premium', 'athletics']",[],"['premium', 'athletics']"
disposition,"['state of mind', 'humor', 'nature']",[],"['state of mind', 'humor', 'nature']"
root,"['turnip', 'carrot', 'vegetable', 'artery', 'leek', 'prime', 'tooth', 'growing', 'hair']","['turnip', 'carrot', 'vegetable', 'artery', 'leek', 'tooth', 'hair']","['turnip', 'carrot', 'vegetable', 'artery', 'leek', 'prime', 'tooth', 'growing', 'hair']"
toll,['damage'],[],['damage']
eating,"['disorder', 'herbivore', 'nourishment', 'diet', 'willpower', 'toothpick', 'enzyme', 'nourish', 'problem', 'tooth', 'vegetarian', 'calorie', 'obese', 'health', 'garlic', 'organic', 'gingerbread']","['herbivore', 'toothpick', 'tooth', 'vegetarian', 'obese', 'garlic', 'gingerbread']","['disorder', 'herbivore', 'nourishment', 'diet', 'willpower', 'toothpick', 'enzyme', 'nourish', 'problem', 'tooth', 'vegetarian', 'calorie', 'obese', 'health', 'garlic', 'organic', 'gingerbread']"
happening,"['providence', 'crisis', 'promote']",['providence'],"['providence', 'crisis', 'promote']"
evacuate,['discharge'],[],['discharge']
smog,[],[],[]
cleanse,"['disinfectant', 'sanitation', 'sauna', 'laxative', 'aloe', 'colon', 'immunity', 'juicer']","['disinfectant', 'sauna', 'laxative', 'colon', 'juicer']","['disinfectant', 'sanitation', 'sauna', 'laxative', 'aloe', 'colon', 'immunity', 'juicer']"
carrot,"['vegetable', 'turnip', 'celery', 'juicer', 'vegetarian', 'root', 'vegan', 'broccoli', 'salad', 'soup', 'lean', 'diet', 'herb', 'apple', 'organism']","['vegetable', 'turnip', 'celery', 'juicer', 'vegetarian', 'root', 'vegan', 'broccoli', 'salad', 'soup']","['vegetable', 'turnip', 'celery', 'juicer', 'vegetarian', 'root', 'vegan', 'broccoli', 'salad', 'soup', 'lean', 'diet', 'herb', 'apple', 'organism']"
colon,"['intestine', 'spastic', 'cleanse', 'constipation', 'fibre', 'ulcer', 'coma', 'cancer']","['intestine', 'ulcer', 'coma', 'cancer']","['intestine', 'spastic', 'cleanse', 'constipation', 'fibre', 'ulcer', 'coma', 'cancer']"
corporal,"['sergeant', 'body']","['sergeant', 'body']","['sergeant', 'body']"
dopamine,"['cortisone', 'schizophrenia']",[],"['cortisone', 'schizophrenia']"
medic,"['first aid', 'physician', 'heal', 'medical', 'ulcer', 'diagnose', 'aid', 'clinic', 'posture']","['physician', 'ulcer', 'clinic', 'posture']","['first aid', 'physician', 'heal', 'medical', 'ulcer', 'diagnose', 'aid', 'clinic', 'posture']"
work out,"['exercise', 'fitness', 'sweatpants', 'diagnose', 'fit', 'jog', 'smoothie']","['fitness', 'sweatpants']","['exercise', 'fitness', 'sweatpants', 'diagnose', 'fit', 'jog', 'smoothie']"
closure,"['finality', 'mandate']",[],"['finality', 'mandate']"
depression,"['mental illness', 'mental health', 'dopamine', 'breakdown', 'psychiatrist', 'disorder', 'failing', 'cope', 'therapy', 'psychiatry', 'psychologist', 'libido', 'worse', 'anemia', 'vain', 'positivity', 'schizophrenia', 'alcoholism', 'overcome', 'feeling']","['psychiatrist', 'psychiatry', 'cholesterol', 'pill', 'nurse']","['mental illness', 'mental health', 'dopamine', 'breakdown', 'psychiatrist', 'disorder', 'failing', 'cope', 'therapy', 'psychiatry', 'psychologist', 'libido', 'worse', 'anemia', 'vain', 'positivity', 'schizophrenia', 'alcoholism', 'overcome', 'feeling', 'psychosis', 'cholesterol', 'heart attack', 'old age', 'therapist', 'pill', 'nurse']"
environment,"['recycling', 'sustain', 'conditions', 'gas', 'nature', 'restore', 'crisis', 'system', 'regime', 'bicycle', 'contraception', 'problem', 'world', 'cycling', 'greens', 'organism', 'rain forest']","['gas', 'bicycle', 'world', 'greens', 'rain forest']","['recycling', 'sustain', 'conditions', 'gas', 'nature', 'restore', 'crisis', 'system', 'regime', 'bicycle', 'contraception', 'problem', 'world', 'cycling', 'greens', 'organism', 'rain forest']"
growing,"['learning', 'living', 'hormone', 'alive', 'thrive', 'organism']",[],"['learning', 'living', 'hormone', 'alive', 'thrive', 'organism']"
thermometer,"['sick', 'vet', 'blood pressure']",[],"['sick', 'vet', 'blood pressure']"
therapist,"['psychologist', 'physiotherapist', 'massage', 'mental health', 'closure', 'therapy', 'psychiatry', 'psychiatrist', 'mental illness', 'psychosis', 'physician']","['physiotherapist', 'massage', 'psychiatry', 'psychiatrist', 'physician']","['psychologist', 'physiotherapist', 'massage', 'mental health', 'closure', 'therapy', 'psychiatry', 'psychiatrist', 'mental illness', 'psychosis', 'physician']"
toothbrush,"['teeth', 'hygiene', 'oral', 'dental', 'toothpick', 'floss', 'vitality']","['teeth', 'dental', 'toothpick', 'floss']","['teeth', 'hygiene', 'oral', 'dental', 'toothpick', 'floss', 'vitality']"
beneficial,"['nutritious', 'exercise', 'healthcare', 'social security', 'activity', 'orange juice']","['social security', 'orange juice']","['nutritious', 'exercise', 'healthcare', 'social security', 'activity', 'orange juice']"
crisis,"['emergency', 'epidemic', 'hazard', 'breakdown', 'sustain', 'crystal', 'aid']",['crystal'],"['emergency', 'epidemic', 'hazard', 'breakdown', 'sustain', 'crystal', 'aid']"
posture,['yoga'],['yoga'],['yoga']
patient,"['doctor', 'mental', 'hospital', 'nurse', 'coma', 'clinic', 'caregiver', 'cancer', 'psychiatrist', 'treatment', 'stroke', 'therapist', 'stethoscope', 'psychologist', 'nursing', 'healthcare', 'overcome', 'die', 'transplant', 'aids']","['doctor', 'hospital', 'nurse', 'coma', 'clinic', 'cancer', 'psychiatrist', 'stethoscope', 'dentist', 'psychiatry']","['doctor', 'mental', 'hospital', 'nurse', 'coma', 'clinic', 'caregiver', 'cancer', 'psychiatrist', 'treatment', 'stroke', 'therapist', 'stethoscope', 'psychologist', 'nursing', 'healthcare', 'overcome', 'die', 'transplant', 'aids', 'asylum', 'well-being', 'dentist', 'endurance', 'psychiatry', 'recovery', 'sick', 'vegetable']"
sauna,"['spa', 'wellness', 'cleanse']",['spa'],"['spa', 'wellness', 'cleanse']"
microbe,"['organism', 'yogurt']",['yogurt'],"['organism', 'yogurt']"
toothpick,[],[],[]
tonic,"['potion', 'remedy', 'medication']","['potion', 'medication']","['potion', 'remedy', 'medication']"
provision,"['provide', 'condition']",[],"['provide', 'condition']"
complication,[],[],[]
sergeant,"['corporal', 'inspection']",['corporal'],"['corporal', 'inspection']"
blender,"['juicer', 'smoothie', 'sexual']",['juicer'],"['juicer', 'smoothie', 'sexual']"
smoker,"['alcoholic', 'cigar', 'cigarette', 'nicotine']","['cigar', 'cigarette', 'nicotine']","['alcoholic', 'cigar', 'cigarette', 'nicotine']"
thrive,"['do well', 'succor']",[],"['do well', 'succor']"
injure,['damage'],[],['damage']
jogger,"['runner', 'jogging', 'hiker', 'running']",['hiker'],"['runner', 'jogging', 'hiker', 'running']"
problem,"['complication', 'crisis', 'malfunction', 'syndrome', 'alcoholism', 'diagnose', 'remedy', 'thyroid', 'blame', 'disorder', 'root', 'hoarding', 'alcoholic', 'stroke', 'drug', 'worry', 'medical', 'exercise', 'spastic', 'worsen']","['thyroid', 'root', 'drug', 'cyst', 'asthma', 'gluten', 'junk food', 'psychiatrist', 'medication']","['complication', 'crisis', 'malfunction', 'syndrome', 'alcoholism', 'diagnose', 'remedy', 'thyroid', 'blame', 'disorder', 'root', 'hoarding', 'alcoholic', 'stroke', 'drug', 'worry', 'medical', 'exercise', 'spastic', 'worsen', 'hernia', 'synapse', 'mental illness', 'prevention', 'cyst', 'inspection', 'overcome', 'robust', 'asthma', 'breakdown', 'emergency', 'psychosis', 'citation', 'gluten', 'disease', 'junk food', 'therapist', 'sickness', 'scanner', 'mental', 'psychiatrist', 'work out', 'medication', 'surgery']"
state of mind,"['disposition', 'psyche', 'mental health']",[],"['disposition', 'psyche', 'mental health']"
cancer,"['leukemia', 'prostate', 'cure', 'colon', 'cigarette', 'lymph', 'lung', 'smoker', 'thyroid', 'treatment', 'diagnose', 'cyst', 'survivor', 'illness', 'nicotine', 'disease', 'cigar', 'ulcer', 'liver', 'sunscreen']","['leukemia', 'prostate', 'colon', 'cigarette', 'lung', 'smoker', 'thyroid', 'cyst', 'survivor', 'nicotine']","['leukemia', 'prostate', 'cure', 'colon', 'cigarette', 'lymph', 'lung', 'smoker', 'thyroid', 'treatment', 'diagnose', 'cyst', 'survivor', 'illness', 'nicotine', 'disease', 'cigar', 'ulcer', 'liver', 'sunscreen', 'intestine', 'chromosome', 'recovery', 'sick', 'synapse', 'toothpick', 'mental illness', 'prevention', 'scare', 'hormone', 'die', 'transplant', 'wealth', 'recover', 'soy', 'coma', 'heart attack', 'junk food', 'organs', 'surgeon', 'clinic', 'cycling', 'gift', 'kidney', 'medication', 'surgery']"
stealth,['wealth'],[],['wealth']
loathing,[],[],[]
parsley,"['herb', 'vegan', 'turnip', 'celery']","['herb', 'vegan', 'turnip', 'celery']","['herb', 'vegan', 'turnip', 'celery']"
stoke,['stroke'],[],['stroke']
protein,"['amino acid', 'enzyme', 'soy', 'tofu', 'supplement', 'peanut butter', 'gluten', 'smoothie', 'lipid', 'yoghurt', 'nutritious', 'hemp', 'fibre', 'vegan', 'hormone', 'antibiotic', 'chromosome', 'nourishment', 'vegetarian', 'genetics']","['tofu', 'gluten', 'yoghurt', 'hemp', 'vegan', 'antibiotic', 'vegetarian']","['amino acid', 'enzyme', 'soy', 'tofu', 'supplement', 'peanut butter', 'gluten', 'smoothie', 'lipid', 'yoghurt', 'nutritious', 'hemp', 'fibre', 'vegan', 'hormone', 'antibiotic', 'chromosome', 'nourishment', 'vegetarian', 'genetics', 'vitamin', 'gene']"
secretary,"['assistant', 'aide', 'dentist']","['assistant', 'dentist']","['assistant', 'aide', 'dentist']"
yoga,"['guru', 'sweatpants', 'aerobics', 'exercise', 'cleansing', 'yoghurt', 'wellness', 'heath', 'psyche', 'state of mind', 'salutation', 'aura', 'refresh', 'smoothie', 'fitness', 'posture', 'training', 'anatomy', 'body']","['guru', 'sweatpants', 'yoghurt', 'fitness', 'posture', 'body']","['guru', 'sweatpants', 'aerobics', 'exercise', 'cleansing', 'yoghurt', 'wellness', 'heath', 'psyche', 'state of mind', 'salutation', 'aura', 'refresh', 'smoothie', 'fitness', 'posture', 'training', 'anatomy', 'body']"
sodium,"['soy', 'celery', 'cholesterol', 'vitamin', 'calcium']","['celery', 'cholesterol', 'calcium']","['soy', 'celery', 'cholesterol', 'vitamin', 'calcium']"
inspection,['examination'],[],['examination']
constipation,"['laxative', 'bran', 'hernia', 'colon']","['laxative', 'colon']","['laxative', 'bran', 'hernia', 'colon']"
synapse,"['dopamine', 'consciousness']",[],"['dopamine', 'consciousness']"
shape,"['pear', 'kidney', 'fit', 'physiology', 'maintain', 'aesthetics', 'aerobics', 'crystal', 'liver', 'calorie', 'jogging', 'running', 'fitness', 'posture', 'body', 'heart']","['pear', 'kidney', 'crystal', 'liver', 'fitness', 'posture', 'body', 'heart']","['pear', 'kidney', 'fit', 'physiology', 'maintain', 'aesthetics', 'aerobics', 'crystal', 'liver', 'calorie', 'jogging', 'running', 'fitness', 'posture', 'body', 'heart']"
vigor,"['vitality', 'health', 'libido', 'heath', 'stamina', 'athletics']",[],"['vitality', 'health', 'libido', 'heath', 'stamina', 'athletics']"
neat,"['cleanliness', 'hygiene', 'disorder', 'closure']",[],"['cleanliness', 'hygiene', 'disorder', 'closure']"
psychologist,"['therapist', 'therapy', 'psychiatrist', 'mental health', 'psyche', 'psychosis', 'psychiatry', 'physiotherapist', 'schizophrenia', 'treatment', 'closure', 'depression']","['psychiatrist', 'psychiatry', 'physiotherapist']","['therapist', 'therapy', 'psychiatrist', 'mental health', 'psyche', 'psychosis', 'psychiatry', 'physiotherapist', 'schizophrenia', 'treatment', 'closure', 'depression']"
pick up,[],[],[]
blame,['failing'],[],['failing']
libido,"['hormone', 'stamina']",[],"['hormone', 'stamina']"
sweatpants,"['jogger', 'aerobics', 'fitness']","['jogger', 'fitness']","['jogger', 'aerobics', 'fitness']"
pulse,"['blender', 'repulse', 'synapse', 'alive', 'life', 'glowing', 'vital', 'blood pressure', 'work out', 'heart']","['blender', 'glowing', 'heart']","['blender', 'repulse', 'synapse', 'alive', 'life', 'glowing', 'vital', 'blood pressure', 'work out', 'heart']"
benefit,"['beneficial', 'social security', 'charity', 'providence', 'supplement', 'better', 'promote', 'fit', 'well-being', 'cure', 'health', 'drug']","['social security', 'providence', 'drug']","['beneficial', 'social security', 'charity', 'providence', 'supplement', 'better', 'promote', 'fit', 'well-being', 'cure', 'health', 'drug']"
doctor,"['stethoscope', 'surgeon', 'medical', 'medic', 'medicine', 'diagnose', 'clinic', 'nurse', 'patient', 'psychiatrist', 'surgery', 'veterinarian', 'healthcare', 'examination', 'hospital', 'psychologist', 'scrubs', 'psychiatry', 'heal', 'blood pressure']","['stethoscope', 'surgeon', 'medic', 'medicine', 'clinic', 'nurse', 'psychiatrist', 'hospital', 'scrubs', 'psychiatry']","['stethoscope', 'surgeon', 'medical', 'medic', 'medicine', 'diagnose', 'clinic', 'nurse', 'patient', 'psychiatrist', 'surgery', 'veterinarian', 'healthcare', 'examination', 'hospital', 'psychologist', 'scrubs', 'psychiatry', 'heal', 'blood pressure', 'health', 'pharmacist', 'therapist', 'antibiotic', 'dentist', 'physiotherapist', 'injection', 'dose', 'physiology', 'treatment', 'pharmacy', 'nursing', 'vaccination', 'illness', 'therapy', 'antidote', 'infection', 'vaccine', 'thyroid', 'anatomy', 'apple', 'prostate', 'mental health', 'transplant', 'cholesterol', 'thermometer', 'dental', 'anemia', 'caregiver', 'artery']"
gene,"['chromosome', 'genetics', 'amino acid']",[],"['chromosome', 'genetics', 'amino acid']"
heath,"['chocolate bar', 'vitality', 'hygiene', 'medical']",['chocolate bar'],"['chocolate bar', 'vitality', 'hygiene', 'medical']"
frying,['olive oil'],['olive oil'],['olive oil']
physique,"['physiology', 'athlete']",['athlete'],"['physiology', 'athlete']"
infection,"['antibiotic', 'infect', 'disease', 'disinfectant', 'lymph', 'immunity', 'microbe', 'kidney', 'cyst', 'discharge', 'antiseptic', 'injection', 'flu', 'vaccine', 'worsen', 'cortisone', 'epidemic', 'measles', 'ulcer', 'intestine']","['antibiotic', 'disinfectant', 'kidney', 'cyst', 'antiseptic', 'vaccine', 'measles', 'ulcer', 'intestine', 'antidote']","['antibiotic', 'infect', 'disease', 'disinfectant', 'lymph', 'immunity', 'microbe', 'kidney', 'cyst', 'discharge', 'antiseptic', 'injection', 'flu', 'vaccine', 'worsen', 'cortisone', 'epidemic', 'measles', 'ulcer', 'intestine', 'diagnose', 'heal', 'illness', 'antidote', 'lung']"
alcoholic,"['recover', 'prevention', 'recovery', 'booze']",['booze'],"['recover', 'prevention', 'recovery', 'booze']"
astronomy,['aura'],[],['aura']
recover,"['restore', 'heal', 'hydrate', 'pick up', 'injure', 'cancer', 'recovery']",['cancer'],"['restore', 'heal', 'hydrate', 'pick up', 'injure', 'cancer', 'recovery']"
anatomy,"['physiology', 'lung', 'lymph', 'aorta', 'thyroid', 'colon', 'intestine', 'liver', 'organs', 'body', 'amino acid', 'physiotherapist', 'artery', 'nudity', 'fingernail', 'kidney', 'medical']","['lung', 'aorta', 'thyroid', 'colon', 'intestine', 'liver', 'organs', 'body', 'physiotherapist', 'artery']","['physiology', 'lung', 'lymph', 'aorta', 'thyroid', 'colon', 'intestine', 'liver', 'organs', 'body', 'amino acid', 'physiotherapist', 'artery', 'nudity', 'fingernail', 'kidney', 'medical']"
contentment,"['happiness', 'well-being', 'mental health', 'glowing']",['glowing'],"['happiness', 'well-being', 'mental health', 'glowing']"
living,"['alive', 'organism', 'lifestyle', 'vitality', 'assistant', 'consciousness', 'heartbeat', 'survivor', 'welfare', 'vital', 'body', 'commune', 'corporal', 'essential', 'yoghurt', 'socialism', 'transplant', 'eternal', 'tonic', 'health']","['assistant', 'survivor', 'body', 'corporal', 'yoghurt', 'vegetable']","['alive', 'organism', 'lifestyle', 'vitality', 'assistant', 'consciousness', 'heartbeat', 'survivor', 'welfare', 'vital', 'body', 'commune', 'corporal', 'essential', 'yoghurt', 'socialism', 'transplant', 'eternal', 'tonic', 'health', 'organic', 'vegetable']"
eagerness,[],[],[]
psychiatry,"['mental illness', 'mental health', 'psychologist', 'asylum', 'therapist', 'therapy', 'doctor', 'medication']","['doctor', 'medication']","['mental illness', 'mental health', 'psychologist', 'asylum', 'therapist', 'therapy', 'doctor', 'medication']"
wheat,"['gluten', 'bran', 'granola', 'fiber', 'treadmill', 'provider', 'thin', 'flourish', 'soy', 'neat', 'prosperity', 'organic']","['gluten', 'granola', 'provider']","['gluten', 'bran', 'granola', 'fiber', 'treadmill', 'provider', 'thin', 'flourish', 'soy', 'neat', 'prosperity', 'organic']"
defensive,[],[],[]
tofu,"['soy', 'vegetarian', 'vegan', 'protein']","['vegetarian', 'vegan', 'protein']","['soy', 'vegetarian', 'vegan', 'protein']"
vitamin,"['supplement', 'calcium', 'nourish', 'nutritious', 'orange juice', 'pill', 'protein', 'lipid', 'amino acid', 'beneficial', 'essential', 'vitality', 'enzyme', 'juicer', 'nourishment', 'smoothie', 'tonic', 'lime', 'injection', 'grapefruit']","['calcium', 'orange juice', 'pill', 'protein', 'juicer', 'lime', 'grapefruit', 'sunlight']","['supplement', 'calcium', 'nourish', 'nutritious', 'orange juice', 'pill', 'protein', 'lipid', 'amino acid', 'beneficial', 'essential', 'vitality', 'enzyme', 'juicer', 'nourishment', 'smoothie', 'tonic', 'lime', 'injection', 'grapefruit', 'sunlight']"
junk food,"['pizza', 'cholesterol']","['pizza', 'cholesterol']","['pizza', 'cholesterol']"
learning,"['training', 'osmosis', 'failing', 'clinic', 'improve', 'faculty', 'eagerness', 'synapse', 'fate', 'physiology', 'improvement', 'advocate', 'disorder', 'life', 'work out', 'growing']","['clinic', 'advocate']","['training', 'osmosis', 'failing', 'clinic', 'improve', 'faculty', 'eagerness', 'synapse', 'fate', 'physiology', 'improvement', 'advocate', 'disorder', 'life', 'work out', 'growing']"
mattress,['yoga'],['yoga'],['yoga']
mental,"['psychosis', 'breakdown', 'asylum', 'schizophrenia', 'disorder', 'psychiatry', 'psychiatrist', 'sanity', 'state of mind', 'wellbeing', 'therapy', 'faculty', 'psychologist', 'treatment', 'therapist', 'psyche', 'wellness', 'hygiene', 'condition', 'hoarding']","['psychiatry', 'psychiatrist', 'physiotherapist', 'floss', 'cigarette', 'dental']","['psychosis', 'breakdown', 'asylum', 'schizophrenia', 'disorder', 'psychiatry', 'psychiatrist', 'sanity', 'state of mind', 'wellbeing', 'therapy', 'faculty', 'psychologist', 'treatment', 'therapist', 'psyche', 'wellness', 'hygiene', 'condition', 'hoarding', 'syndrome', 'illness', 'exercise', 'spastic', 'willpower', 'physiotherapist', 'positivity', 'activity', 'conditions', 'floss', 'crisis', 'disease', 'injure', 'endurance', 'cigarette', 'environment', 'sick', 'depression', 'dental']"
milkman,[],[],[]
clean,"['hygiene', 'sanitation', 'antiseptic', 'disinfectant', 'cleansing', 'toothbrush', 'cleanliness', 'refresh', 'floss', 'dentist', 'toothpick', 'maintain', 'scrubs', 'restore', 'pick up', 'organic', 'teeth', 'moisture', 'immune', 'microbe']","['antiseptic', 'disinfectant', 'floss', 'dentist', 'toothpick', 'scrubs', 'teeth', 'moisture', 'crystal', 'liver']","['hygiene', 'sanitation', 'antiseptic', 'disinfectant', 'cleansing', 'toothbrush', 'cleanliness', 'refresh', 'floss', 'dentist', 'toothpick', 'maintain', 'scrubs', 'restore', 'pick up', 'organic', 'teeth', 'moisture', 'immune', 'microbe', 'crystal', 'liver', 'clinic', 'environment', 'filth', 'fingernail', 'hemp', 'aesthetics', 'infect', 'disorder', 'inspection', 'nag', 'sanity', 'sexual', 'enzyme', 'juicer', 'treatment', 'die', 'lean', 'manage', 'recover', 'well-being', 'glowing', 'olive oil', 'athlete', 'laboratory', 'stethoscope', 'air conditioning', 'sauna', 'fitness']"
alright,[],[],[]
caregiver,"['provider', 'nursing', 'aide', 'provide', 'doctor']","['provider', 'doctor']","['provider', 'nursing', 'aide', 'provide', 'doctor']"
potion,"['remedy', 'antidote', 'tonic', 'lotion', 'chemist', 'laboratory', 'arsenic', 'restore', 'vitality', 'drug', 'pill', 'fruit']","['antidote', 'chemist', 'laboratory', 'drug', 'pill', 'fruit']","['remedy', 'antidote', 'tonic', 'lotion', 'chemist', 'laboratory', 'arsenic', 'restore', 'vitality', 'drug', 'pill', 'fruit']"
safety,"['insurance', 'asylum', 'insured', 'social security', 'prevention', 'assurance', 'first aid', 'wellbeing', 'immunity', 'inspector', 'hygiene', 'health', 'bike', 'bunk', 'dose', 'healthcare', 'risk', 'protector', 'vaccination', 'bless']","['insured', 'social security', 'inspector', 'bike', 'bunk', 'protector', 'vaccination', 'chemist', 'evacuate']","['insurance', 'asylum', 'insured', 'social security', 'prevention', 'assurance', 'first aid', 'wellbeing', 'immunity', 'inspector', 'hygiene', 'health', 'bike', 'bunk', 'dose', 'healthcare', 'risk', 'protector', 'vaccination', 'bless', 'careless', 'valuable', 'contraception', 'chemist', 'citation', 'recover', 'detector', 'evacuate', 'nitrogen']"
wellbeing,"['health', 'psyche', 'goodness', 'prosperity', 'libido', 'amino acid', 'condition', 'healthcare', 'state of mind', 'fibre', 'sanity', 'mental health', 'nourishment', 'ethics', 'alright', 'fitness']",['fitness'],"['health', 'psyche', 'goodness', 'prosperity', 'libido', 'amino acid', 'condition', 'healthcare', 'state of mind', 'fibre', 'sanity', 'mental health', 'nourishment', 'ethics', 'alright', 'fitness']"
vain,"['artery', 'aorta', 'nudity', 'riches']","['artery', 'aorta']","['artery', 'aorta', 'nudity', 'riches']"
bicycle,"['cycling', 'cyclist', 'exercise', 'commune', 'youth', 'eating', 'recycling']",['cyclist'],"['cycling', 'cyclist', 'exercise', 'commune', 'youth', 'eating', 'recycling']"
kidney,"['transplant', 'liver', 'organs', 'ulcer', 'disease', 'diabetes', 'lung']","['liver', 'organs', 'ulcer', 'lung']","['transplant', 'liver', 'organs', 'ulcer', 'disease', 'diabetes', 'lung']"
